Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
1313.816,1932.187,656.607,1079.31,2054.675,2701.524,1506.38,1509.552,1691.096
1150.011,1687.255,621.766,1001.92,1869.459,2460.752,1439.361,1442.127,1511.458
970.362,1497.067,490.154,884.437,1944.295,2579.613,1561.162,1564.016,1559.159
709.631,1177.661,362.003,735.461,1924.207,2550.21,1479.971,1482.632,1470.152
544.596,1015.008,289.109,696.114,2070.447,2741.81,1621.585,1624.436,1551.631
385.648,933.663,227.897,687.473,1942.08,2641.221,1540.532,1543.553,1709.752
326.179,981.183,197.526,693.949,1999.819,2691.487,1583.965,1587.202,1846.331
338.036,1018.978,206.942,706.301,2111.198,2817.613,1646.394,1649.55,1889.873
361.672,956.55,210.244,651.041,2035.699,2661.997,1502.988,1505.857,1664.842
461.932,991.668,266.381,693.462,2232.462,2911.515,1577.804,1580.742,1638.807
707.132,1197.249,389.37,800.97,2274.07,2937.298,1582.22,1585.217,1567.941
956.291,1507.395,504.794,914.274,2261.618,2927.596,1534.862,1537.891,1629.591
1212.515,1823.499,629.995,1039.088,1960.95,2601.723,1439.083,1441.921,1663.689
1036.361,1562.936,533.849,907.821,1900.645,2504.584,1339.339,1341.826,1506.973
897.426,1436.363,468.202,863.512,1939.22,2591.78,1480.5,1483.195,1589.502
724.092,1215.416,373.423,754.176,1789.328,2427.63,1467.268,1469.842,1512.953
507.294,1010.945,265.373,688.286,1909.461,2610.64,1556.574,1559.392,1630.562
388.946,936.124,215.945,655.169,1848.969,2526.551,1525.441,1528.118,1666.66
339.266,1013.51,196.698,703.241,1963.265,2687.414,1578.384,1581.456,1908.007
318.446,987.592,198.954,688.995,2031.357,2735.222,1601.286,1604.223,1865.99
359.285,919.805,216.105,645.205,2057.094,2691.142,1456.303,1458.89,1626.253
491.557,999.326,282.939,706.494,2216.164,2907.338,1569.924,1572.633,1625.206
638.307,1141.133,353.105,773.723,2135.6,2809.339,1507.699,1510.563,1600.048
994.417,1607.437,524.494,969.399,2043.661,2692.136,1565.376,1568.378,1709.402
1125.159,1758.226,545.372,990.791,2103.195,2763.065,1542.555,1545.584,1741.385
